YEAR,TERM,SUBJ,NUMB,DEGREE_TITLE,INVENTORY_TITLE,STATUS
1,1,ARCH,201,Intro to Architecture,Intro to Architecture,MATCHED_EXACT
1,1,ARCH,202,Design Skills,Design Skills,MATCHED_EXACT
1,2,ARCH,222,Intro Arch Comp Graph,Intro Arch Comp Graph,MATCHED_EXACT
2,1,ARCH,283,Architectural Design I,Architectural Design I,MATCHED_EXACT
2,2,ARCH,284,Architectural Des II,Architectural Des II,MATCHED_EXACT
3,1,ARCH,383,Architectural Des III,Architectural Des III,MATCHED_EXACT
3,2,ARCH,384,Architectural Des IV,Architectural Des IV,MATCHED_EXACT
3,3,ARH,314,Hist of World Arch I,Hist of World Arch I,MATCHED_EXACT
4,1,ARH,315,Hist of World Arch II,Hist Western Arch II,MATCHED_TITLE_DIFF
4,1,ARCH,423,Media for Design Devel,Media for Design Devel,MATCHED_EXACT
4,1,ARCH,430,Architectural Contexts,Architectural Contexts,MATCHED_EXACT
4,2,ARCH,440,Human Context of Des,Human Context of Des,MATCHED_EXACT
4,2,ARCH,450,Spatial Composition,Spatial Composition,MATCHED_EXACT
4,3,ARCH,461,Structural Behavior,Structural Behavior,MATCHED_EXACT
4,3,ARCH,462,Wood & Steel Bldg Sys,Wood & Steel Bldg Sys,MATCHED_EXACT
4,1,ARCH,484,Arch Design,Arch Design,MATCHED_EXACT
4,2,ARCH,484,Arch Design,Arch Design,MATCHED_EXACT
4,3,ARCH,484,Arch Design,Arch Design,MATCHED_EXACT
5,1,ARCH,470,Building Construction,Building Construction,MATCHED_EXACT
5,1,ARCH,471,Building Enclosure,Building Enclosure,MATCHED_EXACT
5,1,ARCH,484,Arch Design,Arch Design,MATCHED_EXACT
5,1,ARCH,485,Adv Arch Design I,Adv Arch Design I,MATCHED_EXACT
5,2,ARCH,486,Adv Arch Design II,Adv Arch Design II,MATCHED_EXACT
5,2,ARCH,491,Envir Control Sys I,Envir Control Sys I,MATCHED_EXACT
5,2,ARCH,492,Envir Control Sys II,Envir Control Sys II,MATCHED_EXACT
5,3,ARCH,417,Context Arch Profess,Context Arch Profess,MATCHED_EXACT
